anio,mes,conglomerado,muestra,selviv,hogar,region,llave_panel,estrato,condicion_ocupacion,ingreso_total,sexo,edad,nivel_educativo_cod,anios_educacion
2024,12,1855601,1,16,1,1,20241218556011001611,1.0,Desocupado,,1,75,5,1
2024,12,1855601,1,16,1,1,20241218556011001612,1.0,Desocupado,,2,73,6,5
2024,12,1855601,1,16,1,1,20241218556011001613,1.0,Ocupado,2478.0,1,48,8,2
2024,12,17721,1,58,1,1,202412177211005811,1.0,Desocupado,,1,46,8,1
2024,12,17721,1,58,1,1,202412177211005812,1.0,Ocupado,1340.0,2,40,6,5
2024,12,17721,1,58,1,1,202412177211005813,1.0,Ocupado,2400.0,1,23,8,1
2024,12,17721,1,58,1,1,202412177211005814,1.0,Ocupado,1018.0,1,16,5,4
2024,12,17721,1,58,1,1,202412177211005815,1.0,Ocupado,,2,12,,5
2024,12,17721,1,58,1,1,202412177211005816,1.0,Ocupado,,1,6,,5
2024,12,2407201,1,43,1,1,20241224072011004311,1.0,Ocupado,741.0,2,41,6,5
2024,12,2407201,1,43,1,1,20241224072011004312,1.0,Ocupado,,2,9,,5
2024,12,21027,1,44,1,1,202412210271004411,1.0,Ocupado,1300.0,1,60,11,5
2024,12,20590,1,85,1,1,202412205901008511,1.0,Ocupado,433.0,2,79,3,1
2024,12,20590,1,85,1,1,202412205901008512,1.0,Ocupado,2799.0,2,41,11,5
2024,12,29774,1,72,1,1,202412297741007211,1.0,Ocupado,3400.0,1,57,10,2
2024,12,2250702,1,39,1,1,20241222507021003911,1.0,Ocupado,4000.0,2,42,11,5
2024,12,2250702,1,39,1,1,20241222507021003912,1.0,Ocupado,4000.0,2,38,11,5
2024,12,2250702,1,39,1,1,20241222507021003913,1.0,Ocupado,2000.0,1,34,10,3
2024,12,2250702,1,39,1,1,20241222507021003914,1.0,Ocupado,,1,,,5
2024,12,2819701,1,120,1,1,20241228197011012011,1.0,Ocupado,3031.0,1,71,9,3
2024,12,2819701,1,120,1,1,20241228197011012012,1.0,Ocupado,2000.0,2,65,6,5
2024,12,26830,1,50,1,1,202412268301005011,1.0,Ocupado,1400.0,1,20,10,1
2024,12,26830,1,50,1,1,202412268301005012,1.0,Ocupado,1835.0,1,27,,5
2024,12,1811901,1,29,1,1,20240918119011002911,1.0,Desocupado,,2,79,6,5
2024,12,18456,1,61,1,1,202309184561006111,1.0,Ocupado,1400.0,1,21,6,5
